"Fluxbox"," ""Fluxbox"""
"All apps"," ""Alle Programme"""
"Recent files"," ""Letztverwendete Dateien"""
"Update list"," ""Liste aktualisieren"""
"Browser"," ""Browser"""
"Email"," ""Email"""
"File manager"," ""Dateiverwaltung"""
"Help"," ""Hilfe"""
"Music"," ""Musik"""
"Run"," ""Ausführen"""
"Terminal"," ""Terminal"""
"Appearance"," ""Erscheinungsbild"""
"Conky"," ""Conky"""
"Docks"," ""Docks"""
"Default"," ""Standard"""
"Dockmaker"," ""Dockersteller"""
"Desktop icons"," ""Arbeitsflächensymbole"""
"Monitors"," ""Monitore"""
"Style"," ""Stil"""
"Theme"," ""Thema"""
"Toolbar"," ""Werkzeugleiste"""
"Traditional"," ""Herkömmlich"""
"Wallpaper"," ""Hintergrund"""
"Rotate"," ""Drehen"""
"Separate"," ""Trennen"""
"Settings"," ""Einstellungen"""
"Backup"," ""Sicherung"""
"Configure"," ""Konfiguration"""
"Apps"," ""Programme"""
"Init"," ""Init"""
"Keys"," ""Tasten"""
"Menus"," ""Menues"""
"Overlay"," ""Einblendung"""
"Startup"," ""Hochfahren"""
"Styles"," ""Stile"""
"Window"," ""Fenster"""
"Display"," ""Bildschirm"""
"Keyboard"," ""Tastatur"""
"Select"," ""Auswahl"""
"Out of sight"," ""Verstecken"""
"Kill dock"," ""Dock abschießen"""
"Kill a window"," ""Fenster abschießen"""
"Toggle conky"," ""Conky an/aus"""
"Toggle iDesk"," ""iDesk an/aus"""
"Toggle icons"," ""Symbole an/aus"""
"Toggle autohide dock"," ""Dockausblendeautomatik an/aus"""
"Toggle autohide toolbar"," ""Werkzeugleistenausblendeautomatik an/aus"""
"Toggle monitors"," ""Bildschirme umschalten"""
"Disable default dock"," ""Standard-Dock deaktivieren"""
"Leave"," ""Verlassen"""
"Refresh"," ""Aktualisieren"""
"Suspend"," ""Schlafmodus"""
"Logout"," ""Abmelden"""
"Reboot"," ""Neustart"""
"Shutdown"," ""Ausschalten"""
