"Fluxbox"," ""Fluxbox"""
"All apps","""Όλες οι εφαρμογές"""
"Recent files","""Πρόσφατοι φάκελοι"""
"Update list","""Ενημέρωση λίστας"""
"Browser","""Πρόγραμμα περιήγησης"""
"Email","""Ηλεκτρονικό ταχυδρομείο"""
"File manager","""Διαχείριση Αρχείων"""
"Help","""Βοήθεια"" "
"Music","""Μουσική"""
"Run","""Εκτέλεση"" "
"Terminal","""Τερματικό"" "
"Appearance","""Εμφάνιση"""
"Conky"," ""Conky"""
"Docks"," ""Docks"""
"Default","""Προεπιλογή"""
"Dockmaker","""Dockmaker"""
"Desktop icons","""Εικονίδια επιφάνειας εργασίας"""
"Monitors","""Οθόνες"""
"Style","""Στυλ"""
"Theme","""Θέμα"""
"Toolbar","""Γραμμή εργαλείων"""
"Traditional","""Παραδοσιακό"""
"Wallpaper","""Φόντο"" "
"Rotate","""Γυρίζω"""
"Separate","""Ξεχωριστό"""
"Settings","""Ρυθμίσεις"""
"Backup","""Αντιγράφων ασφαλείας"""
"Configure","""Ρύθμιση"" "
"Apps","""Εφαρμογές"""
"Init"," ""Init"""
"Keys","""Κλειδιά"""
"Menus","""Μενού"""
"Overlay"," ""Overlay"""
"Startup","""Εκκίνηση"""
"Styles","""Στυλ"""
"Window","""Παράθυρο"""
"Display","""Οθόνη"""
"Keyboard","""Πληκτρολόγιο"""
"Select","""Επιλογή"""
"Out of sight","""Κρυμμένα"""
"Kill dock","""Kill dock"""
"Kill a window","""Kill a window"""
"Toggle conky","""Εναλλαγή conky"""
"Toggle iDesk","""Εναλλαγή idesk"""
"Toggle icons","""Εναλλαγή εικονιδίων"""
"Toggle autohide dock","""Εναλλαγή autohide dock"""
"Toggle autohide toolbar","""Εναλλαγή αυτόματη απόκρυψη γραμμής εργαλείων"""
"Toggle monitors","""Εναλλαγή οθονών"""
"Disable default dock","""Απενεργοποίηση προεπιλεγμένης dock"""
"Leave","""Εξοδος"""
"Refresh","""Ανανέωση"" "
"Suspend","""Αναστολή"""
"Logout","""Αποσύνδεση"""
"Reboot","""Επανεκκίνηση"""
"Shutdown","""Τερματισμός"""
