"Fluxbox","""Fluxbox"""
"All apps","""Todas las aplicaciones"""
"Recent files","""Archivos recientes"""
"Update list","""Lista de actualización"""
"Browser","""Navegador"""
"Email","""Correo electrónico"""
"File manager","""Gestor de archivos"""
"Help","""Ayuda"""
"Music","""Música"""
"Run","""Ejecutar"" "
"Terminal","""Terminal"""
"Appearance","""Apariencia"""
"Conky","""Conky"""
"Docks","""Docks"""
"Default","""Predeterminado"""
"Dockmaker","""Dockmaker"""
"Desktop icons","""Iconos de escritorio"""
"Monitors","""Monitores"""
"Style","""Estilo"""
"Theme","""Tema"""
"Toolbar","""Barra de herramientas"""
"Traditional","""Tradicional"""
"Wallpaper","""Fondo de pantalla"""
"Rotate","""Rotar"""
"Separate","""Separar"""
"Settings","""Ajustes"""
"Backup","""Respaldo"""
"Configure","""Configurar"""
"Apps","""Aplicaciones"""
"Init","""Init"""
"Keys","""Teclas"""
"Menus","""Menús"""
"Overlay","""Cubrir"""
"Startup","""Inicio"""
"Styles","""Estilos"""
"Window","""Ventana"""
"Display","""Monitor"""
"Keyboard","""Teclado"""
"Select","""Seleccionar"""
"Out of sight","""No visible"""
"Kill dock","""Matar un dock"""
"Kill a window","""Matar una ventana"""
"Toggle conky","""Alternar conky"""
"Toggle iDesk","""Alternar iDesk"""
"Toggle icons","""Alternar iconos"""
"Toggle autohide dock","""Alternar auto ocultar dock"""
"Toggle autohide toolbar","""Alternar auto ocultar barra de herramientas"""
"Toggle monitors","""Alternar monitores"""
"Disable default dock","""Desactivar dock predeterminado"""
"Leave","""Abandonar"""
"Refresh","""Refrescar"""
"Suspend","""Suspender"""
"Logout","""Cerrar sesión"""
"Reboot","""Reiniciar"""
"Shutdown","""Apagar"""
