"Fluxbox",""
"All apps","""כל היישומים"""
"Recent files",""
"Update list",""
"Browser",""
"Email",""
"File manager",""
"Help","""עזרה"""
"Music",""
"Run",""
"Terminal",""
"Appearance",""
"Conky",""
"Docks",""
"Default",""
"Dockmaker",""
"Desktop icons",""
"Monitors",""
"Style","""סגנון"""
"Theme",""
"Toolbar",""
"Traditional",""
"Wallpaper","""רקע"""
"Rotate",""
"Separate",""
"Settings",""
"Backup",""
"Configure",""
"Apps",""
"Init",""
"Keys",""
"Menus",""
"Overlay",""
"Startup",""
"Styles","""סגנונות"""
"Window",""
"Display",""
"Keyboard",""
"Select",""
"Out of sight",""
"Kill dock",""
"Kill a window",""
"Toggle conky",""
"Toggle iDesk",""
"Toggle icons",""
"Toggle autohide dock",""
"Toggle autohide toolbar",""
"Toggle monitors",""
"Disable default dock",""
"Leave",""
"Refresh","""ריענון"""
"Suspend",""
"Logout",""
"Reboot",""
"Shutdown",""
