"Fluxbox"," ""Fluxbox"""
"All apps"," ""Sve aplikacije"""
"Recent files","""Nedavne datoteke"""
"Update list",""
"Browser","""Preglednik"""
"Email","""Email"""
"File manager","""Upravitelj datotekama"""
"Help","""Pomoć"""
"Music","""Glazba"""
"Run",""
"Terminal"," ""Terminal"""
"Appearance","""Izgled"""
"Conky"," ""Conky"""
"Docks",""
"Default","""Zadano"""
"Dockmaker",""
"Desktop icons","""Ikone radne površine"""
"Monitors"," ""Monitori"""
"Style"," ""Stil"""
"Theme","""Tema"""
"Toolbar"," ""Alatna traka"""
"Traditional",""
"Wallpaper","""Tapeta"""
"Rotate",""
"Separate",""
"Settings","""Postavke"""
"Backup","""Sigurnosna kopija"""
"Configure","""Konfiguriraj"""
"Apps"," ""Aplikacije"""
"Init",""
"Keys",""
"Menus"," ""Izbornici"""
"Overlay",""
"Startup",""
"Styles"," ""Stilovi"""
"Window","""Prozor"""
"Display","""Prikaži"""
"Keyboard","""Tipkovnica"""
"Select","""Odaberi"""
"Out of sight",""
"Kill dock",""
"Kill a window",""
"Toggle conky",""
"Toggle iDesk",""
"Toggle icons",""
"Toggle autohide dock",""
"Toggle autohide toolbar",""
"Toggle monitors",""
"Disable default dock",""
"Leave"," ""Napusti"""
"Refresh","""Osvježi"""
"Suspend",""
"Logout"," ""Odjava"""
"Reboot",""
"Shutdown"," ""Isključi"""
