"Fluxbox"," ""Fluxbox"""
"All apps","""Tutte le applicazioni"""
"Recent files","""File recenti"""
"Update list","""Elenco aggiornamenti"""
"Browser"," ""Browser"""
"Email"," ""E-mail"""
"File manager","""Gestore dei file"""
"Help","""Aiuto"""
"Music"," ""Musica"""
"Run","""Esegui"""
"Terminal"," ""Terminale"""
"Appearance","""Aspetto"""
"Conky"," ""Conky"""
"Docks"," ""Dock"""
"Default"," ""Default"""
"Dockmaker","""Crea dock"""
"Desktop icons","""Icone della scrivania"""
"Monitors","""Schermi"""
"Style"," ""Stile"""
"Theme"," ""Tema"""
"Toolbar","""Barra degli strumenti"""
"Traditional"," ""Tradizionale"""
"Wallpaper","""Immagine scrivania"""
"Rotate","""Ruota"""
"Separate"," ""Separa"""
"Settings","""Impostazioni"""
"Backup"," ""Backup"""
"Configure"," ""Configura"""
"Apps"," ""Applicazioni"""
"Init"," ""Init"""
"Keys","""Tasti"""
"Menus"," ""Menu"""
"Overlay","""Sovrapposizione"""
"Startup","""Avvio"""
"Styles"," ""Stili"""
"Window","""Finestra"""
"Display"," ""Display"""
"Keyboard","""Tastiera"""
"Select"," ""Seleziona"""
"Out of sight"," ""Fuori dalla vista"""
"Kill dock","""Termina dock"""
"Kill a window","""Termina una finestra"""
"Toggle conky","""Interruttore conky"""
"Toggle iDesk","""Interruttore iDesk"""
"Toggle icons","""Interruttore icone"""
"Toggle autohide dock","""Interruttore nascondi automaticamente il dock"""
"Toggle autohide toolbar","""Interruttore nascondi automaticamente la barra degli strumenti"""
"Toggle monitors","""Interruttore schermi"""
"Disable default dock","""Disabilita dock di default"""
"Leave","""Abbandona"""
"Refresh","""Ricarica"""
"Suspend"," ""Sospendi"""
"Logout"," ""Logout"""
"Reboot","""Riavvia"""
"Shutdown","""Spegni"""
