"Fluxbox"," ""Fluxbox"""
"All apps"," ""すべてのアプリ"""
"Recent files"," ""最近開いたファイル"""
"Update list"," ""一覧の更新"""
"Browser"," ""ブラウザ"""
"Email"," ""電子メール"""
"File manager"," ""ファイルマネージャ"""
"Help"," ""ヘルプ"""
"Music"," ""音楽"""
"Run"," ""実行"""
"Terminal"," ""端末"""
"Appearance"," ""外観"""
"Conky"," ""コンキー"""
"Docks"," ""ドック"""
"Default"," ""既定"""
"Dockmaker"," ""ドックメーカー"""
"Desktop icons"," ""デスクトップアイコン"""
"Monitors"," ""モニタ"""
"Style"," ""スタイル"""
"Theme"," ""テーマ"""
"Toolbar"," ""ツールバー"""
"Traditional"," ""トラディショナル"""
"Wallpaper"," ""壁紙"""
"Rotate"," ""回転"""
"Separate"," ""分割"""
"Settings"," ""設定"""
"Backup"," ""バックアップ"""
"Configure"," ""設定"""
"Apps"," ""アプリ"""
"Init"," ""初期化"""
"Keys"," ""キー"""
"Menus"," ""メニュー"""
"Overlay"," ""重ねて表示"""
"Startup"," ""起動"""
"Styles"," ""スタイル"""
"Window"," ""ウィンドウ"""
"Display"," ""ディスプレイ"""
"Keyboard"," ""キーボード"""
"Select"," ""選択"""
"Out of sight"," ""視界から消去"""
"Kill dock"," ""ドックの停止"""
"Kill a window"," ""ウィンドウの終了"""
"Toggle conky"," ""コンキーの切り換え"""
"Toggle iDesk"," ""iDesk の切り換え"""
"Toggle icons"," ""アイコンの切り換え"""
"Toggle autohide dock"," ""ドックを自動的に隠す機能の切り換え"""
"Toggle autohide toolbar"," ""ツールバーを自動的に隠す機能の切り換え"""
"Toggle monitors"," ""モニタの切り換え"""
"Disable default dock"," ""標準ドックの無効化"""
"Leave"," ""終了"""
"Refresh"," ""リフレッシュ"""
"Suspend"," ""サスペンド"""
"Logout"," ""ログアウト"""
"Reboot"," ""再起動"""
"Shutdown"," ""シャットダウン"""
