"Fluxbox"," ""Fluxbox"""
"All apps","""Alle programmer"""
"Recent files","""Nylige filer"""
"Update list","""Oppdater liste"""
"Browser","""Nettleser"""
"Email","""E-post"""
"File manager","""Filbehandler"""
"Help","""Hjelp"""
"Music","""Musikk"""
"Run","""Kjør"""
"Terminal","""Terminal"""
"Appearance","""Utseende"""
"Conky"," ""Conky"""
"Docks","""Samlevinduer"""
"Default","""Forvalg"""
"Dockmaker"," ""Dockmaker"""
"Desktop icons","""Skrivebordsikoner"""
"Monitors","""Skjermer"""
"Style","""Stil"""
"Theme","""Tema"""
"Toolbar","""Verktøylinje"""
"Traditional","""Tradisjonell"""
"Wallpaper","""Bakgrunnsbilde"""
"Rotate","""Roter"""
"Separate","""Separat"""
"Settings","""Innstillinger"""
"Backup","""Reservekopi"""
"Configure","""Oppsett"""
"Apps","""Programmer"""
"Init","""Initialisering"""
"Keys","""Taster"""
"Menus","""Menyer"""
"Overlay","""Legg over"""
"Startup","""Oppstart"""
"Styles","""Stiler"""
"Window","""Vindu"""
"Display","""Skjerm"""
"Keyboard","""Tastatur"""
"Select","""Velg"""
"Out of sight","""Ute av syne"""
"Kill dock","""Tvangsavslutt samlevindu"""
"Kill a window","""Tvangsavslutt vindu"""
"Toggle conky","""Veksle conky"""
"Toggle iDesk","""Veksle iDesk"""
"Toggle icons","""Veksle ikoner"""
"Toggle autohide dock","""Veksle autoskjuling av samlevindu"""
"Toggle autohide toolbar","""Veksle autoskjuling av verktøylinje"""
"Toggle monitors","""Veksle skjermer"""
"Disable default dock","""Slå av forvalgt samlevindu"""
"Leave","""Forlat"""
"Refresh","""Oppdater"""
"Suspend","""Hvilemodus"""
"Logout","""Logg ut"""
"Reboot","""Start på nytt"""
"Shutdown","""Slå av"""
