"Fluxbox"," ""Fluxbox"""
"All apps","""Wszystkie aplikacje"""
"Recent files"," ""Ostatnie pliki"""
"Update list","""Aktualizuj listę"""
"Browser","""Przeglądarka"""
"Email"," ""Email"""
"File manager","""Menedżer plików"""
"Help","""Pomoc"""
"Music","""Muzyka"""
"Run","""Uruchom"""
"Terminal"," ""Terminal"""
"Appearance","""Wygląd"""
"Conky"," ""Conky"""
"Docks","""Doki"""
"Default","""Domyślnie"""
"Dockmaker"," ""Dockmaker"""
"Desktop icons","""Ikony pulpitu"""
"Monitors","""Monitory"""
"Style","""Styl"""
"Theme","""Motyw"""
"Toolbar","""Pasek narzędzi"""
"Traditional","""Tradycyjny"""
"Wallpaper","""Tapeta"""
"Rotate","""Obróć"""
"Separate","""Oddziel"""
"Settings","""Ustawienia"""
"Backup","""Kopia zapasowa"""
"Configure","""Skonfiguruj"""
"Apps","""Aplikacje"""
"Init"," ""Init"""
"Keys","""Klawisze"""
"Menus","""Menu"""
"Overlay","""Nakładka"""
"Startup"," ""Startup"""
"Styles","""Style"""
"Window","""Okno"""
"Display","""Wyświetlacz"""
"Keyboard","""Klawiatura"""
"Select","""Wybierz"""
"Out of sight","""Poza polem widzenia"""
"Kill dock","""Zabij dok"""
"Kill a window","""Zabij okno"""
"Toggle conky","""Przełącz conky"""
"Toggle iDesk","""Przełącz iDesk"""
"Toggle icons","""Przełącz ikony"""
"Toggle autohide dock","""Przełącz automatyczne ukrywanie doku"""
"Toggle autohide toolbar","""Przełącz automatyczne ukrywanie paska narzędzi"""
"Toggle monitors","""Przełącz monitory"""
"Disable default dock","""Wyłącz domyślny dok"""
"Leave","""Wyjdź"""
"Refresh","""Odśwież"""
"Suspend","""Wstrzymaj"""
"Logout","""Wyloguj"""
"Reboot","""Uruchom ponownie"""
"Shutdown","""Wyłącz"""
