"Fluxbox"," ""Fluxbox"""
"All apps"," ""Todos os Aplicativos"""
"Recent files"," ""Arquivos Recentes"""
"Update list"," ""Atualizar a Lista"""
"Browser"," ""Navegador de Internet"""
"Email"," ""E-mail"""
"File manager"," ""Gerenciador de Arquivos"""
"Help"," ""Ajuda"""
"Music"," ""Áudio"""
"Run"," ""Executar"""
"Terminal"," ""Terminal"""
"Appearance"," ""Aparência"""
"Conky"," ""Conky"""
"Docks"," ""Docas"""
"Default"," ""Padrão"""
"Dockmaker"," ""Criador de Doca"""
"Desktop icons"," ""Ícones da Área de Trabalho"""
"Monitors"," ""Monitores"""
"Style"," ""Estilo"""
"Theme"," ""Tema"""
"Toolbar"," ""Barra de Ferramentas"""
"Traditional"," ""Tradicional"""
"Wallpaper"," ""Papel de Parede"""
"Rotate"," ""Girar"""
"Separate"," ""Separado"""
"Settings"," ""Configurações"""
"Backup"," ""Cópia de Segurança"""
"Configure","""Configurar"""
"Apps"," ""Aplicativos"""
"Init"," ""Iniciar"""
"Keys"," ""Teclas"""
"Menus"," ""Menus"""
"Overlay"," ""Sobreposição"""
"Startup"," ""Iniciar"""
"Styles"," ""Estilo"""
"Window"," ""Janela"""
"Display"," ""Exibição"""
"Keyboard"," ""Teclado"""
"Select"," ""Selecionar """
"Out of sight"," ""Ocultar"""
"Kill dock"," ""Aniquilar a Doca"""
"Kill a window"," ""Aniquilar a Janela"""
"Toggle conky"," ""Ligar/Desligar o Conky"""
"Toggle iDesk"," ""Ligar/Desligar o iDesk"""
"Toggle icons"," ""Ligar/Desligar os Ícones"""
"Toggle autohide dock"," ""Exibir/Ocultar a Doca"""
"Toggle autohide toolbar"," ""Exibir/Ocultar a Barra de Ferramentas"""
"Toggle monitors"," ""Ligar/Desligar os Monitores"""
"Disable default dock"," ""Desativar a Doca Padrão"""
"Leave"," ""Sair"""
"Refresh"," ""Recarregar"""
"Suspend"," ""Suspender"""
"Logout"," ""Sair da Sessão"""
"Reboot"," ""Reiniciar"""
"Shutdown"," ""Desligar"""
