"Fluxbox"," ""Fluxbox"""
"All apps"," ""Alla appar"""
"Recent files"," ""Senaste filer"""
"Update list"," ""Uppdatera lista"""
"Browser","""Webbläsare"""
"Email","""E-post"""
"File manager","""Filhanterare"""
"Help"," ""Hjälp"""
"Music"," ""Musik"""
"Run"," ""Kör"""
"Terminal"," ""Terminal"""
"Appearance","""Utseende"""
"Conky"," ""Conky"""
"Docks"," ""Dockor"""
"Default","""Standard"""
"Dockmaker"," ""Dockmaker"""
"Desktop icons","""Skrivbordsikoner"""
"Monitors","""Skärmar"""
"Style"," ""Stil"""
"Theme"," ""Tema"""
"Toolbar","""Verktygsfält"""
"Traditional"," ""Traditionell"""
"Wallpaper"," ""Wallpaper"""
"Rotate"," ""Rotera"""
"Separate"," ""Separat"""
"Settings","""Inställningar"""
"Backup"," ""Backup"""
"Configure"," ""Anpassa"""
"Apps"," ""Appar"""
"Init"," ""Init"""
"Keys"," ""Tangenter"""
"Menus"," ""Menyer"""
"Overlay"," ""Overlay"""
"Startup"," ""Start"""
"Styles"," ""Stilar"""
"Window"," ""Fönster"""
"Display"," ""Visa"""
"Keyboard"," ""Tangentbord"""
"Select"," ""Välj"""
"Out of sight"," ""Dold"""
"Kill dock"," ""Stänga docka"""
"Kill a window"," ""Stänga ett fönster"""
"Toggle conky"," ""Växla conky"""
"Toggle iDesk"," ""Växla iDesk"""
"Toggle icons"," ""Växla ikoner"""
"Toggle autohide dock"," ""Växla auto-dold docka"""
"Toggle autohide toolbar","""Växla auto-dolt verktygsfält"""
"Toggle monitors"," ""Växla skärmar"""
"Disable default dock"," ""Avaktivera standard-docka"""
"Leave"," ""Avsluta"""
"Refresh"," ""Förnya"""
"Suspend"," ""Upphör"""
"Logout"," ""Logga ut"""
"Reboot"," ""Starta om"""
"Shutdown"," ""Stäng av"""
